agents;comms;simulations;mean;dvest;r;time
2;10;30;0.0;0.0;0.0;0:00.36
2;20;30;0.0;0.0;0.0;0:00.43
2;30;30;0.0;0.0;0.0;0:00.48
2;40;30;0.0;0.0;0.0;0:00.53
2;50;180;0.016666666666666666;0.12837619299299347;0.01888176341666884;0:02.06
2;60;210;0.01904761904761905;0.13701900688551372;0.018639806330790383;0:02.83
2;70;1140;0.13421052631578947;0.34102797327286133;0.01981743360148954;0:15.98
2;80;1920;0.27395833333333336;0.4461040409536992;0.019966761874451417;0:29.33
2;90;2430;0.5037037037037037;0.5000891919898967;0.019893393936658822;0:40.97
2;100;2160;0.6648148148148149;0.4721644728816047;0.01992315249212094;0:37.68
2;110;1350;0.8355555555555556;0.37081575504657094;0.01979835996464234;0:24.29
2;120;660;0.9272727272727272;0.2598852639015103;0.019863516747698408;0:12.67
2;130;330;0.9666666666666667;0.17977809128866656;0.019468319360644068;0:06.44
2;140;240;0.975;0.1564512302530687;0.019894188538233798;0:05.45
2;150;30;1.0;0.0;0.0;0:00.84
2;160;30;1.0;0.0;0.0;0:00.84
2;170;30;1.0;0.0;0.0;0:00.92
2;180;30;1.0;0.0;0.0;0:00.96
2;190;30;1.0;0.0;0.0;0:00.90
2;200;30;1.0;0.0;0.0;0:00.87
2;210;30;1.0;0.0;0.0;0:00.87
2;220;30;1.0;0.0;0.0;0:00.85
2;230;30;1.0;0.0;0.0;0:00.86
2;240;30;1.0;0.0;0.0;0:00.87
2;250;30;1.0;0.0;0.0;0:00.82
2;260;30;1.0;0.0;0.0;0:00.92
2;270;30;1.0;0.0;0.0;0:00.85
2;280;30;1.0;0.0;0.0;0:00.85
2;290;30;1.0;0.0;0.0;0:00.83
2;300;30;1.0;0.0;0.0;0:00.84
2;310;30;1.0;0.0;0.0;0:01.00
2;320;30;1.0;0.0;0.0;0:00.86
2;330;30;1.0;0.0;0.0;0:00.79
2;340;30;1.0;0.0;0.0;0:00.87
2;350;30;1.0;0.0;0.0;0:00.85
2;360;30;1.0;0.0;0.0;0:00.90
2;370;30;1.0;0.0;0.0;0:00.81
2;380;30;1.0;0.0;0.0;0:00.86
2;390;30;1.0;0.0;0.0;0:00.85
2;400;30;1.0;0.0;0.0;0:00.85
2;410;30;1.0;0.0;0.0;0:00.85
2;420;30;1.0;0.0;0.0;0:00.85
2;430;30;1.0;0.0;0.0;0:00.93
2;440;30;1.0;0.0;0.0;0:00.94
2;450;30;1.0;0.0;0.0;0:00.95
2;460;30;1.0;0.0;0.0;0:00.87
2;470;30;1.0;0.0;0.0;0:00.90
2;480;30;1.0;0.0;0.0;0:00.88
2;490;30;1.0;0.0;0.0;0:00.86
2;500;30;1.0;0.0;0.0;0:00.80
2;510;30;1.0;0.0;0.0;0:00.89
2;520;30;1.0;0.0;0.0;0:00.91
2;530;30;1.0;0.0;0.0;0:00.87
2;540;30;1.0;0.0;0.0;0:00.84
2;550;30;1.0;0.0;0.0;0:00.89
2;560;30;1.0;0.0;0.0;0:00.96
2;570;30;1.0;0.0;0.0;0:00.84
2;580;30;1.0;0.0;0.0;0:00.98
2;590;30;1.0;0.0;0.0;0:00.93
2;600;30;1.0;0.0;0.0;0:00.88
3;10;30;0.0;0.0;0.0;0:00.37
3;20;30;0.0;0.0;0.0;0:00.42
3;30;30;0.0;0.0;0.0;0:00.47
3;40;30;0.0;0.0;0.0;0:00.53
3;50;150;0.013333333333333334;0.11508191810497581;0.018567408772215844;0:01.60
3;60;30;0.0;0.0;0.0;0:00.64
3;70;1170;0.14017094017094017;0.3473127509514333;0.019921671516518483;0:16.23
3;80;1980;0.2828282828282828;0.45048744674481755;0.019854725363509136;0:30.57
3;90;2430;0.4897119341563786;0.4999970351307359;0.0198897279652029;0:39.82
3;100;1980;0.7131313131313132;0.4524139877373904;0.0199396354816167;0:35.28
3;110;1380;0.8282608695652174;0.37729027578548724;0.01992349415744906;0:25.89
3;120;750;0.9173333333333333;0.2755614893293767;0.01975323994839109;0:14.17
3;130;300;0.97;0.17087224588772684;0.019414243556415845;0:06.05
3;140;30;1.0;0.0;0.0;0:00.92
3;150;30;1.0;0.0;0.0;0:00.85
3;160;30;1.0;0.0;0.0;0:00.90
3;170;30;1.0;0.0;0.0;0:00.92
3;180;30;1.0;0.0;0.0;0:00.84
3;190;30;1.0;0.0;0.0;0:00.88
3;200;30;1.0;0.0;0.0;0:00.81
3;210;30;1.0;0.0;0.0;0:00.87
3;220;30;1.0;0.0;0.0;0:00.84
3;230;30;1.0;0.0;0.0;0:00.91
3;240;30;1.0;0.0;0.0;0:00.92
3;250;30;1.0;0.0;0.0;0:00.87
3;260;30;1.0;0.0;0.0;0:00.85
3;270;30;1.0;0.0;0.0;0:00.85
3;280;30;1.0;0.0;0.0;0:00.90
3;290;30;1.0;0.0;0.0;0:00.89
3;300;30;1.0;0.0;0.0;0:00.88
3;310;30;1.0;0.0;0.0;0:00.89
3;320;30;1.0;0.0;0.0;0:00.96
3;330;30;1.0;0.0;0.0;0:00.79
3;340;30;1.0;0.0;0.0;0:00.87
3;350;30;1.0;0.0;0.0;0:00.85
3;360;30;1.0;0.0;0.0;0:00.96
3;370;30;1.0;0.0;0.0;0:00.83
3;380;30;1.0;0.0;0.0;0:00.93
3;390;30;1.0;0.0;0.0;0:00.98
3;400;30;1.0;0.0;0.0;0:00.91
3;410;30;1.0;0.0;0.0;0:00.83
3;420;30;1.0;0.0;0.0;0:00.94
3;430;30;1.0;0.0;0.0;0:00.95
3;440;30;1.0;0.0;0.0;0:00.87
3;450;30;1.0;0.0;0.0;0:00.88
3;460;30;1.0;0.0;0.0;0:00.94
3;470;30;1.0;0.0;0.0;0:00.86
3;480;30;1.0;0.0;0.0;0:00.89
3;490;30;1.0;0.0;0.0;0:00.86
3;500;30;1.0;0.0;0.0;0:00.86
3;510;30;1.0;0.0;0.0;0:00.84
3;520;30;1.0;0.0;0.0;0:00.90
3;530;30;1.0;0.0;0.0;0:00.92
3;540;30;1.0;0.0;0.0;0:00.87
3;550;30;1.0;0.0;0.0;0:00.85
3;560;30;1.0;0.0;0.0;0:00.85
3;570;30;1.0;0.0;0.0;0:00.84
3;580;30;1.0;0.0;0.0;0:00.92
3;590;30;1.0;0.0;0.0;0:00.84
3;600;30;1.0;0.0;0.0;0:00.86
4;10;30;0.0;0.0;0.0;0:00.35
4;20;30;0.0;0.0;0.0;0:00.42
4;30;30;0.0;0.0;0.0;0:00.49
4;40;30;0.0;0.0;0.0;0:00.53
4;50;30;0.0;0.0;0.0;0:00.64
4;60;330;0.030303030303030304;0.17168014453414093;0.01859138595650944;0:04.25
4;70;1080;0.12314814814814815;0.3287594232626089;0.01962916635300457;0:13.49
4;80;2040;0.2995098039215686;0.45815562493234374;0.019893165896758762;0:31.11
4;90;2430;0.49588477366255146;0.5000859735622829;0.019893265908600223;0:40.46
4;100;2100;0.6819047619047619;0.46584761198832686;0.019935760978313663;0:35.97
4;110;1470;0.8129251700680272;0.39010429717501116;0.019958510737961996;0:26.53
4;120;630;0.9301587301587302;0.25508184455129035;0.019956934922755132;0:12.17
4;130;330;0.9696969696969697;0.17168014453414085;0.018591385956509433;0:06.42
4;140;30;1.0;0.0;0.0;0:00.87
4;150;30;1.0;0.0;0.0;0:00.82
4;160;30;1.0;0.0;0.0;0:00.84
4;170;30;1.0;0.0;0.0;0:00.91
4;180;30;1.0;0.0;0.0;0:00.81
4;190;30;1.0;0.0;0.0;0:00.95
4;200;30;1.0;0.0;0.0;0:00.87
4;210;30;1.0;0.0;0.0;0:00.94
4;220;30;1.0;0.0;0.0;0:00.83
4;230;30;1.0;0.0;0.0;0:00.84
4;240;30;1.0;0.0;0.0;0:00.87
4;250;30;1.0;0.0;0.0;0:00.87
4;260;30;1.0;0.0;0.0;0:00.84
4;270;30;1.0;0.0;0.0;0:00.81
4;280;30;1.0;0.0;0.0;0:00.84
4;290;30;1.0;0.0;0.0;0:00.88
4;300;30;1.0;0.0;0.0;0:00.84
4;310;30;1.0;0.0;0.0;0:00.88
4;320;30;1.0;0.0;0.0;0:00.84
4;330;30;1.0;0.0;0.0;0:00.87
4;340;30;1.0;0.0;0.0;0:00.85
4;350;30;1.0;0.0;0.0;0:00.90
4;360;30;1.0;0.0;0.0;0:00.91
4;370;30;1.0;0.0;0.0;0:00.86
4;380;30;1.0;0.0;0.0;0:00.84
4;390;30;1.0;0.0;0.0;0:00.85
4;400;30;1.0;0.0;0.0;0:00.86
4;410;30;1.0;0.0;0.0;0:00.80
4;420;30;1.0;0.0;0.0;0:00.89
4;430;30;1.0;0.0;0.0;0:00.85
4;440;30;1.0;0.0;0.0;0:00.88
4;450;30;1.0;0.0;0.0;0:00.84
4;460;30;1.0;0.0;0.0;0:00.90
4;470;30;1.0;0.0;0.0;0:00.86
4;480;30;1.0;0.0;0.0;0:00.88
4;490;30;1.0;0.0;0.0;0:00.87
4;500;30;1.0;0.0;0.0;0:00.90
4;510;30;1.0;0.0;0.0;0:00.93
4;520;30;1.0;0.0;0.0;0:00.86
4;530;30;1.0;0.0;0.0;0:00.88
4;540;30;1.0;0.0;0.0;0:00.82
4;550;30;1.0;0.0;0.0;0:00.79
4;560;30;1.0;0.0;0.0;0:00.83
4;570;30;1.0;0.0;0.0;0:00.86
4;580;30;1.0;0.0;0.0;0:00.83
4;590;30;1.0;0.0;0.0;0:00.91
4;600;30;1.0;0.0;0.0;0:00.88
5;10;30;0.0;0.0;0.0;0:00.36
5;20;30;0.0;0.0;0.0;0:00.43
5;30;30;0.0;0.0;0.0;0:00.48
5;40;30;0.0;0.0;0.0;0:00.51
5;50;30;0.0;0.0;0.0;0:00.60
5;60;30;0.0;0.0;0.0;0:00.65
5;70;1110;0.12882882882882882;0.3351613980441866;0.01973853130050706;0:14.71
5;80;2010;0.2935323383084577;0.4554934969164824;0.019924799934029413;0:30.99
5;90;2430;0.4868312757201646;0.49992943134079104;0.019887038707273465;0:39.49
5;100;2100;0.6819047619047619;0.46584761198832686;0.019935760978313663;0:37.70
5;110;1380;0.8289855072463768;0.3766581226280099;0.019890112168704743;0:25.69
5;120;780;0.9115384615384615;0.2841471572815953;0.01997190047373915;0:14.93
5;130;300;0.97;0.17087224588772684;0.019414243556415845;0:05.92
5;140;150;0.9866666666666667;0.11508191810497569;0.018567408772215823;0:03.12
5;150;30;1.0;0.0;0.0;0:00.88
5;160;30;1.0;0.0;0.0;0:00.86
5;170;30;1.0;0.0;0.0;0:00.90
5;180;30;1.0;0.0;0.0;0:00.87
5;190;30;1.0;0.0;0.0;0:00.85
5;200;30;1.0;0.0;0.0;0:00.87
5;210;30;1.0;0.0;0.0;0:00.80
5;220;30;1.0;0.0;0.0;0:00.85
5;230;30;1.0;0.0;0.0;0:00.92
5;240;30;1.0;0.0;0.0;0:00.85
5;250;30;1.0;0.0;0.0;0:00.92
5;260;30;1.0;0.0;0.0;0:00.84
5;270;30;1.0;0.0;0.0;0:00.99
5;280;30;1.0;0.0;0.0;0:00.85
5;290;30;1.0;0.0;0.0;0:00.86
5;300;30;1.0;0.0;0.0;0:00.97
5;310;30;1.0;0.0;0.0;0:00.90
5;320;30;1.0;0.0;0.0;0:00.91
5;330;30;1.0;0.0;0.0;0:00.84
